Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trim_AD-2-108-3_S224_L004_R1_001	trim_AD-2-108-3_S224_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32587137.0	0.0	45-101	50.0	37.27915488048043	98.79081331999187	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
trim_AD-2-108-3_S224_L004_R2_001	trim_AD-2-108-3_S224_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32587137.0	0.0	45-101	50.0	37.531823465729985	98.84861354957326	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
trim_AD-2-125-2_S226_L004_R1_001	trim_AD-2-125-2_S226_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58472937.0	0.0	45-101	48.0	34.25174807145106	98.54103507747524	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-2-125-2_S226_L004_R2_001	trim_AD-2-125-2_S226_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58472937.0	0.0	45-101	49.0	34.31929954802222	98.5558871448513	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-2-7-1_S225_L004_R1_001	trim_AD-2-7-1_S225_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24777904.0	0.0	45-101	49.0	41.568648434960345	98.10090918101871	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-2-7-1_S225_L004_R2_001	trim_AD-2-7-1_S225_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24777904.0	0.0	45-101	49.0	41.21691011787155	98.25591599676873	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-2-98-3_S223_L004_R1_001	trim_AD-2-98-3_S223_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30079302.0	0.0	45-101	47.0	38.33148447182275	98.02312812976844	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
trim_AD-2-98-3_S223_L004_R2_001	trim_AD-2-98-3_S223_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30079302.0	0.0	45-101	48.0	40.23199684016302	97.76984705296685	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
trim_AD-3-100-2_S229_L004_R1_001	trim_AD-3-100-2_S229_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24911033.0	0.0	45-101	47.0	48.634209814646255	98.10891535489516	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-3-100-2_S229_L004_R2_001	trim_AD-3-100-2_S229_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24911033.0	0.0	45-101	48.0	50.3923643160227	98.07134758321745	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
trim_AD-3-9-1_S230_L004_R1_001	trim_AD-3-9-1_S230_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44699534.0	0.0	45-101	47.0	40.017916090976186	98.49117545610207	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-3-9-1_S230_L004_R2_001	trim_AD-3-9-1_S230_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44699534.0	0.0	45-101	47.0	41.937938677151664	98.25026712806446	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-3-94-1_S227_L004_R1_001	trim_AD-3-94-1_S227_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3303721.0	0.0	45-101	49.0	59.50355641649354	97.1113359754047	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
trim_AD-3-94-1_S227_L004_R2_001	trim_AD-3-94-1_S227_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3303721.0	0.0	45-101	49.0	58.57033644762332	97.30131206600073	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
trim_AD-4-108-2_S234_L004_R1_001	trim_AD-4-108-2_S234_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39180531.0	0.0	45-101	48.0	35.60096720276349	97.92025396490925	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-4-108-2_S234_L004_R2_001	trim_AD-4-108-2_S234_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39180531.0	0.0	45-101	49.0	36.342845686336325	97.67403468829966	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
trim_AD-4-28-1_S231_L004_R1_001	trim_AD-4-28-1_S231_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29200907.0	0.0	45-101	48.0	41.67577679518947	98.16742616933098	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-4-28-1_S231_L004_R2_001	trim_AD-4-28-1_S231_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29200907.0	0.0	45-101	49.0	41.41533878988838	98.03843106654188	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-4-28-4_S233_L004_R1_001	trim_AD-4-28-4_S233_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27503150.0	0.0	45-101	48.0	44.45607567292293	98.1194301016429	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
trim_AD-4-28-4_S233_L004_R2_001	trim_AD-4-28-4_S233_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27503150.0	0.0	45-101	48.0	45.447756776211726	98.13892285065529	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
trim_AD-5-123-1_S237_L004_R1_001	trim_AD-5-123-1_S237_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27058584.0	0.0	45-101	47.0	39.660229518083966	98.35610385229323	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
trim_AD-5-123-1_S237_L004_R2_001	trim_AD-5-123-1_S237_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27058584.0	0.0	45-101	48.0	41.1897524096712	98.49551432550942	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-5-126-2_S238_L004_R1_001	trim_AD-5-126-2_S238_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50349965.0	0.0	45-101	47.0	33.240755715404184	98.66340240752898	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-5-126-2_S238_L004_R2_001	trim_AD-5-126-2_S238_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50349965.0	0.0	45-101	48.0	35.23597478665671	98.37818564521346	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-5-145-1_S235_L004_R1_001	trim_AD-5-145-1_S235_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28970642.0	0.0	45-101	47.0	44.67868335950777	98.59502050386043	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-5-145-1_S235_L004_R2_001	trim_AD-5-145-1_S235_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28970642.0	0.0	45-101	48.0	45.46342226638158	98.38682560089624	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
trim_AD-5-152-2_S236_L004_R1_001	trim_AD-5-152-2_S236_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45722478.0	0.0	45-101	47.0	40.421423322009446	98.67761231138873	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-5-152-2_S236_L004_R2_001	trim_AD-5-152-2_S236_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45722478.0	0.0	45-101	48.0	42.35860777725793	98.49621466273109	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
trim_AD-6-107-3_S242_L004_R1_001	trim_AD-6-107-3_S242_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15230402.0	0.0	45-101	49.0	43.19007446382633	98.08604027654687	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-6-107-3_S242_L004_R2_001	trim_AD-6-107-3_S242_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15230402.0	0.0	45-101	49.0	43.91067417190314	98.10009138301143	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-6-127-1_S241_L004_R1_001	trim_AD-6-127-1_S241_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43410822.0	0.0	45-101	48.0	35.12887446441111	98.37553903033672	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
