Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trim_AD-2-108-3_S224_L004_R1_001	62.72084511951957	50.0	98.79081331999187	9.090909090909092	32587137.0
trim_AD-2-108-3_S224_L004_R2_001	62.468176534270015	50.0	98.84861354957326	9.090909090909092	32587137.0
trim_AD-2-125-2_S226_L004_R1_001	65.74825192854894	48.0	98.54103507747524	18.181818181818183	58472937.0
trim_AD-2-125-2_S226_L004_R2_001	65.68070045197777	49.0	98.5558871448513	18.181818181818183	58472937.0
trim_AD-2-7-1_S225_L004_R1_001	58.431351565039655	49.0	98.10090918101871	18.181818181818183	24777904.0
trim_AD-2-7-1_S225_L004_R2_001	58.78308988212845	49.0	98.25591599676873	18.181818181818183	24777904.0
trim_AD-2-98-3_S223_L004_R1_001	61.66851552817725	47.0	98.02312812976844	18.181818181818183	30079302.0
trim_AD-2-98-3_S223_L004_R2_001	59.76800315983698	48.0	97.76984705296685	9.090909090909092	30079302.0
trim_AD-3-100-2_S229_L004_R1_001	51.365790185353745	47.0	98.10891535489516	18.181818181818183	24911033.0
trim_AD-3-100-2_S229_L004_R2_001	49.6076356839773	48.0	98.07134758321745	9.090909090909092	24911033.0
trim_AD-3-9-1_S230_L004_R1_001	59.982083909023814	47.0	98.49117545610207	18.181818181818183	44699534.0
trim_AD-3-9-1_S230_L004_R2_001	58.062061322848336	47.0	98.25026712806446	18.181818181818183	44699534.0
trim_AD-3-94-1_S227_L004_R1_001	40.49644358350646	49.0	97.1113359754047	9.090909090909092	3303721.0
trim_AD-3-94-1_S227_L004_R2_001	41.42966355237668	49.0	97.30131206600073	9.090909090909092	3303721.0
trim_AD-4-108-2_S234_L004_R1_001	64.39903279723652	48.0	97.92025396490925	18.181818181818183	39180531.0
trim_AD-4-108-2_S234_L004_R2_001	63.657154313663675	49.0	97.67403468829966	9.090909090909092	39180531.0
trim_AD-4-28-1_S231_L004_R1_001	58.32422320481053	48.0	98.16742616933098	18.181818181818183	29200907.0
trim_AD-4-28-1_S231_L004_R2_001	58.58466121011162	49.0	98.03843106654188	18.181818181818183	29200907.0
trim_AD-4-28-4_S233_L004_R1_001	55.54392432707707	48.0	98.1194301016429	9.090909090909092	27503150.0
trim_AD-4-28-4_S233_L004_R2_001	54.552243223788274	48.0	98.13892285065529	9.090909090909092	27503150.0
trim_AD-5-123-1_S237_L004_R1_001	60.339770481916034	47.0	98.35610385229323	27.27272727272727	27058584.0
trim_AD-5-123-1_S237_L004_R2_001	58.8102475903288	48.0	98.49551432550942	18.181818181818183	27058584.0
trim_AD-5-126-2_S238_L004_R1_001	66.75924428459581	47.0	98.66340240752898	18.181818181818183	50349965.0
trim_AD-5-126-2_S238_L004_R2_001	64.76402521334329	48.0	98.37818564521346	18.181818181818183	50349965.0
trim_AD-5-145-1_S235_L004_R1_001	55.32131664049223	47.0	98.59502050386043	18.181818181818183	28970642.0
trim_AD-5-145-1_S235_L004_R2_001	54.53657773361842	48.0	98.38682560089624	9.090909090909092	28970642.0
trim_AD-5-152-2_S236_L004_R1_001	59.578576677990554	47.0	98.67761231138873	18.181818181818183	45722478.0
trim_AD-5-152-2_S236_L004_R2_001	57.64139222274207	48.0	98.49621466273109	9.090909090909092	45722478.0
trim_AD-6-107-3_S242_L004_R1_001	56.80992553617367	49.0	98.08604027654687	18.181818181818183	15230402.0
trim_AD-6-107-3_S242_L004_R2_001	56.08932582809686	49.0	98.10009138301143	18.181818181818183	15230402.0
trim_AD-6-127-1_S241_L004_R1_001	64.87112553558889	48.0	98.37553903033672	18.181818181818183	43410822.0
trim_AD-6-127-1_S241_L004_R2_001	63.80056120160321	48.0	98.19557408979723	18.181818181818183	43410822.0
trim_AD-6-148-2_S240_L004_R1_001	62.33366052472676	48.0	98.1920681649612	18.181818181818183	50865077.0
trim_AD-6-148-2_S240_L004_R2_001	61.19252938063278	49.0	98.11564331260129	9.090909090909092	50865077.0
trim_AD-6-149-3_S239_L004_R1_001	60.57269979167219	48.0	98.13880500065407	18.181818181818183	28406844.0
trim_AD-6-149-3_S239_L004_R2_001	60.337805441695366	48.0	98.29525694582615	9.090909090909092	28406844.0
trim_AD-7-121-1_S245_L004_R1_001	59.208178307759916	49.0	98.29258178888978	18.181818181818183	28185124.0
trim_AD-7-121-1_S245_L004_R2_001	58.88850885526708	49.0	98.26704668746534	18.181818181818183	28185124.0
trim_AD-7-125-1_S246_L004_R1_001	53.123316249376316	48.0	98.12634973024974	18.181818181818183	28346590.0
trim_AD-7-125-1_S246_L004_R2_001	52.85461312465445	48.0	98.70010509200577	18.181818181818183	28346590.0
trim_AD-7-149-2_S243_L004_R1_001	53.80223748276172	47.0	98.34134127249322	18.181818181818183	28715045.0
trim_AD-7-149-2_S243_L004_R2_001	52.22138616043223	48.0	98.10233325422266	18.181818181818183	28715045.0
trim_AD-7-152-1_S244_L004_R1_001	61.32921743370196	47.0	98.40280079026996	27.27272727272727	22373114.0
trim_AD-7-152-1_S244_L004_R2_001	59.61181314001319	48.0	98.26598773867599	9.090909090909092	22373114.0
trim_AD-8-107-2_S248_L004_R1_001	60.07881223654141	47.0	98.4826080937377	9.090909090909092	53727118.0
trim_AD-8-107-2_S248_L004_R2_001	59.295893259339586	47.0	98.2922187637163	18.181818181818183	53727118.0
trim_AD-8-123-2_S250_L004_R1_001	61.68625657489545	49.0	98.00200390671277	18.181818181818183	50148043.0
trim_AD-8-123-2_S250_L004_R2_001	61.97558836191046	49.0	98.58064766355888	18.181818181818183	50148043.0
trim_AD-8-145-2_S247_L004_R1_001	62.30833065590984	47.0	98.57685080344145	9.090909090909092	48910907.0
trim_AD-8-145-2_S247_L004_R2_001	61.656934819508244	48.0	98.39429140007566	9.090909090909092	48910907.0
trim_AD-8-146-1_S249_L004_R1_001	52.008405765347035	48.0	98.0719160374935	9.090909090909092	25707284.0
trim_AD-8-146-1_S249_L004_R2_001	51.230237187513005	48.0	97.8670581458547	18.181818181818183	25707284.0
