Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AD-2-108-3_S224_L004_R1_001	AD-2-108-3_S224_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34639252.0	0.0	101.0	49.0	41.03720324207581	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	pass
AD-2-108-3_S224_L004_R2_001	AD-2-108-3_S224_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34639252.0	0.0	101.0	50.0	41.62345034370775	101.0	pass	fail	pass	pass	warn	warn	pass	pass	fail	pass	pass
AD-2-125-2_S226_L004_R1_001	AD-2-125-2_S226_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62447999.0	0.0	101.0	48.0	36.88763071581215	101.0	pass	fail	pass	pass	fail	pass	pass	pass	fail	warn	pass
AD-2-125-2_S226_L004_R2_001	AD-2-125-2_S226_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62447999.0	0.0	101.0	49.0	38.01811303031615	101.0	pass	fail	pass	pass	fail	pass	pass	pass	fail	warn	pass
AD-2-7-1_S225_L004_R1_001	AD-2-7-1_S225_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26440465.0	0.0	101.0	49.0	44.52498039169364	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	warn
AD-2-7-1_S225_L004_R2_001	AD-2-7-1_S225_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26440465.0	0.0	101.0	49.0	43.813441944942724	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	pass	warn
AD-2-98-3_S223_L004_R1_001	AD-2-98-3_S223_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32325174.0	0.0	101.0	47.0	39.68125532206699	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	warn
AD-2-98-3_S223_L004_R2_001	AD-2-98-3_S223_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32325174.0	0.0	101.0	48.0	43.34713922780447	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	warn
AD-3-100-2_S229_L004_R1_001	AD-3-100-2_S229_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26584224.0	0.0	101.0	47.0	51.785934471981335	101.0	pass	fail	pass	pass	fail	warn	pass	pass	warn	warn	warn
AD-3-100-2_S229_L004_R2_001	AD-3-100-2_S229_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26584224.0	0.0	101.0	48.0	53.243969283207385	101.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	warn
