Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AD-2-108-3_S224_L004_R1_001	58.96279675792419	49.0	101.0	27.27272727272727	34639252.0
AD-2-108-3_S224_L004_R2_001	58.37654965629225	50.0	101.0	18.181818181818183	34639252.0
AD-2-125-2_S226_L004_R1_001	63.11236928418785	48.0	101.0	27.27272727272727	62447999.0
AD-2-125-2_S226_L004_R2_001	61.98188696968385	49.0	101.0	27.27272727272727	62447999.0
AD-2-7-1_S225_L004_R1_001	55.47501960830636	49.0	101.0	27.27272727272727	26440465.0
AD-2-7-1_S225_L004_R2_001	56.186558055057276	49.0	101.0	27.27272727272727	26440465.0
AD-2-98-3_S223_L004_R1_001	60.31874467793301	47.0	101.0	27.27272727272727	32325174.0
AD-2-98-3_S223_L004_R2_001	56.65286077219553	48.0	101.0	27.27272727272727	32325174.0
AD-3-100-2_S229_L004_R1_001	48.214065528018665	47.0	101.0	18.181818181818183	26584224.0
AD-3-100-2_S229_L004_R2_001	46.756030716792615	48.0	101.0	18.181818181818183	26584224.0
AD-3-9-1_S230_L004_R1_001	58.67873459592709	47.0	101.0	27.27272727272727	48142266.0
AD-3-9-1_S230_L004_R2_001	54.04751452342257	47.0	101.0	27.27272727272727	48142266.0
AD-3-94-1_S227_L004_R1_001	39.27122146219697	49.0	101.0	27.27272727272727	3569665.0
AD-3-94-1_S227_L004_R2_001	40.15527955619675	49.0	101.0	27.27272727272727	3569665.0
AD-4-108-2_S234_L004_R1_001	63.62280788942338	48.0	101.0	27.27272727272727	42230441.0
AD-4-108-2_S234_L004_R2_001	60.34087189230202	49.0	101.0	27.27272727272727	42230441.0
AD-4-28-1_S231_L004_R1_001	57.43308511186548	48.0	101.0	27.27272727272727	31292227.0
AD-4-28-1_S231_L004_R2_001	54.324426391062	49.0	101.0	27.27272727272727	31292227.0
AD-4-28-4_S233_L004_R1_001	52.20090867514539	48.0	101.0	27.27272727272727	29412064.0
AD-4-28-4_S233_L004_R2_001	51.1278248016755	48.0	101.0	18.181818181818183	29412064.0
AD-5-123-1_S237_L004_R1_001	57.151836261186126	47.0	101.0	36.36363636363637	28877075.0
AD-5-123-1_S237_L004_R2_001	55.75650941759652	48.0	101.0	27.27272727272727	28877075.0
AD-5-126-2_S238_L004_R1_001	65.9275363154866	47.0	101.0	27.27272727272727	54052920.0
AD-5-126-2_S238_L004_R2_001	60.95410261610489	48.0	101.0	27.27272727272727	54052920.0
AD-5-145-1_S235_L004_R1_001	53.77726026183515	47.0	101.0	27.27272727272727	31203407.0
AD-5-145-1_S235_L004_R2_001	50.346606439920585	48.0	101.0	27.27272727272727	31203407.0
AD-5-152-2_S236_L004_R1_001	57.3258146470785	47.0	101.0	27.27272727272727	49345528.0
AD-5-152-2_S236_L004_R2_001	53.577858068227684	48.0	101.0	27.27272727272727	49345528.0
AD-6-107-3_S242_L004_R1_001	55.41790441825531	49.0	101.0	27.27272727272727	16283215.0
AD-6-107-3_S242_L004_R2_001	53.466616434964344	49.0	101.0	27.27272727272727	16283215.0
AD-6-127-1_S241_L004_R1_001	63.81863419643154	48.0	101.0	27.27272727272727	46618570.0
AD-6-127-1_S241_L004_R2_001	59.86247133809222	48.0	101.0	27.27272727272727	46618570.0
AD-6-148-2_S240_L004_R1_001	60.65646617380585	48.0	101.0	27.27272727272727	54594320.0
AD-6-148-2_S240_L004_R2_001	56.92892271912384	49.0	101.0	27.27272727272727	54594320.0
AD-6-149-3_S239_L004_R1_001	58.22462257465064	48.0	101.0	27.27272727272727	30235113.0
AD-6-149-3_S239_L004_R2_001	56.373106618918754	48.0	101.0	27.27272727272727	30235113.0
AD-7-121-1_S245_L004_R1_001	57.76676007779861	48.0	101.0	27.27272727272727	30127321.0
AD-7-121-1_S245_L004_R2_001	56.46785695378797	49.0	101.0	27.27272727272727	30127321.0
AD-7-125-1_S246_L004_R1_001	51.15446506296952	48.0	101.0	27.27272727272727	30422559.0
AD-7-125-1_S246_L004_R2_001	49.77040863072294	48.0	101.0	18.181818181818183	30422559.0
AD-7-149-2_S243_L004_R1_001	51.93124862791356	47.0	101.0	27.27272727272727	30944723.0
AD-7-149-2_S243_L004_R2_001	47.75213907885947	48.0	101.0	18.181818181818183	30944723.0
AD-7-152-1_S244_L004_R1_001	59.07819034864332	47.0	101.0	36.36363636363637	23957456.0
AD-7-152-1_S244_L004_R2_001	56.55406446511709	48.0	101.0	27.27272727272727	23957456.0
AD-8-107-2_S248_L004_R1_001	58.55457188738376	47.0	101.0	27.27272727272727	57725063.0
AD-8-107-2_S248_L004_R2_001	55.469777439432185	47.0	101.0	27.27272727272727	57725063.0
AD-8-123-2_S250_L004_R1_001	59.163515030568234	49.0	101.0	27.27272727272727	53354796.0
AD-8-123-2_S250_L004_R2_001	58.46152187451517	49.0	101.0	27.27272727272727	53354796.0
AD-8-145-2_S247_L004_R1_001	60.00821475304436	47.0	101.0	27.27272727272727	52629007.0
AD-8-145-2_S247_L004_R2_001	57.41219729610995	48.0	101.0	18.181818181818183	52629007.0
AD-8-146-1_S249_L004_R1_001	50.562104182258786	48.0	101.0	27.27272727272727	27554123.0
AD-8-146-1_S249_L004_R2_001	47.70515963425639	48.0	101.0	18.181818181818183	27554123.0
AD-9-121-2_S254_L004_R1_001	36.87277487222349	49.0	101.0	36.36363636363637	2783784.0
AD-9-121-2_S254_L004_R2_001	34.42051379291995	49.0	101.0	27.27272727272727	2783784.0
AD-9-124-2_S253_L004_R1_001	56.21642958829208	48.0	101.0	27.27272727272727	24910896.0
AD-9-124-2_S253_L004_R2_001	53.01013330438318	48.0	101.0	27.27272727272727	24910896.0
AD-9-127-2_S251_L004_R1_001	60.459710824270395	48.0	101.0	27.27272727272727	59093119.0
