Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trim_AD-2-108-3_S224_L004_R1_001	trim_AD-2-108-3_S224_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32394262.0	0.0	45-101	50.0	40.941769619887374	98.87297021923203	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-2-108-3_S224_L004_R2_001	trim_AD-2-108-3_S224_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32394262.0	0.0	45-101	50.0	40.79537631046886	98.92138224973299	pass	fail	pass	pass	warn	warn	pass	warn	fail	pass	pass
trim_AD-2-125-2_S226_L004_R1_001	trim_AD-2-125-2_S226_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58035048.0	0.0	45-101	48.0	36.87688263000724	98.6290838598083	pass	fail	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-2-125-2_S226_L004_R2_001	trim_AD-2-125-2_S226_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58035048.0	0.0	45-101	49.0	37.07906514369096	98.63853611355675	pass	fail	pass	pass	fail	pass	pass	warn	fail	warn	pass
trim_AD-2-7-1_S225_L004_R1_001	trim_AD-2-7-1_S225_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24562248.0	0.0	45-101	49.0	44.8730019638877	98.20860102055805	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-2-7-1_S225_L004_R2_001	trim_AD-2-7-1_S225_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24562248.0	0.0	45-101	49.0	43.39856445610304	98.35048795207996	pass	fail	pass	pass	fail	warn	pass	warn	fail	pass	pass
trim_AD-2-98-3_S223_L004_R1_001	trim_AD-2-98-3_S223_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29878287.0	0.0	45-101	47.0	40.07422286937395	98.11278638564521	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-2-98-3_S223_L004_R2_001	trim_AD-2-98-3_S223_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29878287.0	0.0	45-101	48.0	42.661743707030425	97.87517497238045	pass	fail	pass	pass	fail	warn	pass	warn	fail	warn	pass
trim_AD-3-100-2_S229_L004_R1_001	trim_AD-3-100-2_S229_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24731082.0	0.0	45-101	47.0	52.38843129537231	98.21208259307053	pass	fail	pass	pass	fail	warn	pass	warn	warn	warn	pass
trim_AD-3-100-2_S229_L004_R2_001	trim_AD-3-100-2_S229_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24731082.0	0.0	45-101	48.0	53.12103681501451	98.1695771337461	pass	fail	pass	pass	fail	pass	pass	warn	warn	pass	pass
