Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trim_AD-2-108-3_S224_L004_R1_001	59.058230380112626	50.0	98.87297021923203	27.27272727272727	32394262.0
trim_AD-2-108-3_S224_L004_R2_001	59.20462368953114	50.0	98.92138224973299	18.181818181818183	32394262.0
trim_AD-2-125-2_S226_L004_R1_001	63.12311736999276	48.0	98.6290838598083	27.27272727272727	58035048.0
trim_AD-2-125-2_S226_L004_R2_001	62.92093485630904	49.0	98.63853611355675	27.27272727272727	58035048.0
trim_AD-2-7-1_S225_L004_R1_001	55.1269980361123	49.0	98.20860102055805	27.27272727272727	24562248.0
trim_AD-2-7-1_S225_L004_R2_001	56.60143554389696	49.0	98.35048795207996	27.27272727272727	24562248.0
trim_AD-2-98-3_S223_L004_R1_001	59.92577713062605	47.0	98.11278638564521	27.27272727272727	29878287.0
trim_AD-2-98-3_S223_L004_R2_001	57.338256292969575	48.0	97.87517497238045	27.27272727272727	29878287.0
trim_AD-3-100-2_S229_L004_R1_001	47.61156870462769	47.0	98.21208259307053	18.181818181818183	24731082.0
trim_AD-3-100-2_S229_L004_R2_001	46.87896318498549	48.0	98.1695771337461	18.181818181818183	24731082.0
trim_AD-3-9-1_S230_L004_R1_001	58.34381791008926	47.0	98.58041184151558	27.27272727272727	44379353.0
trim_AD-3-9-1_S230_L004_R2_001	55.11778603678262	47.0	98.34808993272163	27.27272727272727	44379353.0
trim_AD-3-94-1_S227_L004_R1_001	37.41163874563151	49.0	97.22942357335971	18.181818181818183	3275265.0
trim_AD-3-94-1_S227_L004_R2_001	38.81490290249887	49.0	97.4014664462265	18.181818181818183	3275265.0
trim_AD-4-108-2_S234_L004_R1_001	63.03720770122434	48.0	98.01398936881222	27.27272727272727	38879381.0
trim_AD-4-108-2_S234_L004_R2_001	61.16210371684296	49.0	97.78505779194376	27.27272727272727	38879381.0
trim_AD-4-28-1_S231_L004_R1_001	56.922741736494956	48.0	98.26341054084615	27.27272727272727	28965834.0
trim_AD-4-28-1_S231_L004_R2_001	54.76234620638245	49.0	98.13958721160937	27.27272727272727	28965834.0
trim_AD-4-28-4_S233_L004_R1_001	51.77355180028875	48.0	98.21690309883374	27.27272727272727	27321085.0
trim_AD-4-28-4_S233_L004_R2_001	51.41417498099133	48.0	98.22987095863873	18.181818181818183	27321085.0
trim_AD-5-123-1_S237_L004_R1_001	57.02388224104099	47.0	98.45734755265791	36.36363636363637	26871131.0
trim_AD-5-123-1_S237_L004_R2_001	56.36022309852391	48.0	98.5750387655808	27.27272727272727	26871131.0
trim_AD-5-126-2_S238_L004_R1_001	65.8846058277984	47.0	98.74737650506289	27.27272727272727	49993426.0
trim_AD-5-126-2_S238_L004_R2_001	62.25767413206418	48.0	98.474378331263	27.27272727272727	49993426.0
trim_AD-5-145-1_S235_L004_R1_001	53.62763076697007	47.0	98.6799579077709	27.27272727272727	28763504.0
trim_AD-5-145-1_S235_L004_R2_001	51.24374749206592	48.0	98.4800718994459	27.27272727272727	28763504.0
trim_AD-5-152-2_S236_L004_R1_001	57.281536158106086	47.0	98.76336278610219	27.27272727272727	45373210.0
trim_AD-5-152-2_S236_L004_R2_001	54.85541310729088	48.0	98.58982818275365	27.27272727272727	45373210.0
trim_AD-6-107-3_S242_L004_R1_001	54.759985597527525	49.0	98.19113436810855	27.27272727272727	15097965.0
trim_AD-6-107-3_S242_L004_R2_001	53.693050983855606	49.0	98.20280958394062	27.27272727272727	15097965.0
trim_AD-6-127-1_S241_L004_R1_001	63.57740088853615	48.0	98.46412898733118	27.27272727272727	43092232.0
trim_AD-6-127-1_S241_L004_R2_001	60.90852910764319	48.0	98.29546800917622	27.27272727272727	43092232.0
trim_AD-6-148-2_S240_L004_R1_001	60.29810024036135	48.0	98.29295184354072	27.27272727272727	50449930.0
trim_AD-6-148-2_S240_L004_R2_001	57.79823153936373	49.0	98.2188192927126	27.27272727272727	50449930.0
trim_AD-6-149-3_S239_L004_R1_001	58.07074662755923	48.0	98.24359132964513	27.27272727272727	28210610.0
trim_AD-6-149-3_S239_L004_R2_001	56.810313768846655	48.0	98.38112057839231	27.27272727272727	28210610.0
trim_AD-7-121-1_S245_L004_R1_001	57.25455911798532	49.0	98.38979211355574	27.27272727272727	27929190.0
trim_AD-7-121-1_S245_L004_R2_001	56.994093197850425	49.0	98.36709263677177	27.27272727272727	27929190.0
trim_AD-7-125-1_S246_L004_R1_001	51.01085435238269	48.0	98.22786662311194	27.27272727272727	28163800.0
trim_AD-7-125-1_S246_L004_R2_001	50.05905608031283	48.0	98.76833175920864	27.27272727272727	28163800.0
trim_AD-7-149-2_S243_L004_R1_001	51.46401630032157	47.0	98.43001159504355	27.27272727272727	28500971.0
trim_AD-7-149-2_S243_L004_R2_001	48.40590593272081	48.0	98.20255106396199	18.181818181818183	28500971.0
trim_AD-7-152-1_S244_L004_R1_001	58.88909971563853	47.0	98.49735956114625	36.36363636363637	22207672.0
trim_AD-7-152-1_S244_L004_R2_001	57.53792392592824	48.0	98.36332912337683	27.27272727272727	22207672.0
trim_AD-8-107-2_S248_L004_R1_001	58.35644536076428	47.0	98.56564995994174	27.27272727272727	53369766.0
trim_AD-8-107-2_S248_L004_R2_001	56.39850833618169	48.0	98.38776699901588	27.27272727272727	53369766.0
trim_AD-8-123-2_S250_L004_R1_001	58.72421430616027	49.0	98.11133489050053	27.27272727272727	49798549.0
trim_AD-8-123-2_S250_L004_R2_001	58.52259493941092	49.0	98.65140432103755	27.27272727272727	49798549.0
trim_AD-8-145-2_S247_L004_R1_001	60.02954253063612	47.0	98.65989221044008	27.27272727272727	48588008.0
trim_AD-8-145-2_S247_L004_R2_001	58.759017470779504	48.0	98.48567070294382	18.181818181818183	48588008.0
trim_AD-8-146-1_S249_L004_R1_001	49.84192333998227	48.0	98.16483112534063	18.181818181818183	25528164.0
trim_AD-8-146-1_S249_L004_R2_001	47.945469956013845	48.0	97.9708245371661	18.181818181818183	25528164.0
trim_AD-9-121-2_S254_L004_R1_001	32.6155223502181	48.0	97.18955350315451	18.181818181818183	2425885.0
trim_AD-9-121-2_S254_L004_R2_001	30.788460636158334	49.0	97.00910801624974	9.090909090909092	2425885.0
trim_AD-9-124-2_S253_L004_R1_001	55.62709839254471	48.0	98.07871972027736	27.27272727272727	22920991.0
trim_AD-9-124-2_S253_L004_R2_001	53.740960125902866	48.0	97.91941203589322	27.27272727272727	22920991.0
trim_AD-9-127-2_S251_L004_R1_001	59.71782097947282	48.0	98.2062626131608	27.27272727272727	54522416.0
