target_id	length
AD-7-149-2_S243_TRINITY_DN5140_c1_g1_i1.p1	20622
AD-7-125-1_S246_TRINITY_DN3441_c0_g1_i4.p1	16593
AD-5-152-2_S236_TRINITY_DN4573_c0_g1_i1.p1	16422
AD-7-125-1_S246_TRINITY_DN979_c0_g1_i3.p1	15390
AD-7-149-2_S243_TRINITY_DN1731_c1_g2_i3.p1	15171
AD-5-152-2_S236_TRINITY_DN3561_c0_g1_i1.p1	14748
AD-7-125-1_S246_TRINITY_DN844_c0_g1_i1.p1	14622
AD-5-152-2_S236_TRINITY_DN364_c0_g1_i1.p1	14478
AD-5-152-2_S236_TRINITY_DN1093_c0_g1_i2.p1	14034
AD-7-125-1_S246_TRINITY_DN454_c0_g1_i2.p1	13938
AD-2-108-3_S224_TRINITY_DN250_c0_g1_i1.p1	13758
AD-5-152-2_S236_TRINITY_DN283_c0_g1_i1.p1	13662
AD-5-152-2_S236_TRINITY_DN160_c2_g1_i6.p1	13347
AD-9-127-2_S251_TRINITY_DN662_c0_g1_i2.p1	13215
AD-7-125-1_S246_TRINITY_DN1612_c0_g1_i11.p1	13152
AD-5-152-2_S236_TRINITY_DN2846_c0_g1_i1.p1	13017
AD-7-125-1_S246_TRINITY_DN745_c0_g1_i1.p1	12648
AD-7-125-1_S246_TRINITY_DN1945_c0_g1_i3.p1	12498
AD-5-152-2_S236_TRINITY_DN7328_c0_g1_i7.p1	12438
AD-5-152-2_S236_TRINITY_DN2104_c0_g1_i4.p1	12159
AD-7-125-1_S246_TRINITY_DN104_c1_g1_i9.p1	12078
AD-7-149-2_S243_TRINITY_DN120_c0_g1_i1.p1	12024
AD-5-152-2_S236_TRINITY_DN1134_c0_g1_i2.p1	11508
AD-7-149-2_S243_TRINITY_DN1069_c0_g1_i1.p1	11478
AD-5-152-2_S236_TRINITY_DN8546_c0_g1_i4.p1	11163
AD-5-152-2_S236_TRINITY_DN12876_c0_g1_i10.p1	11157
AD-5-152-2_S236_TRINITY_DN5455_c0_g1_i1.p1	11046
AD-9-127-2_S251_TRINITY_DN23676_c2_g1_i1.p1	10950
AD-7-149-2_S243_TRINITY_DN3486_c0_g1_i2.p1	10641
AD-2-108-3_S224_TRINITY_DN2148_c0_g1_i4.p1	10611
AD-5-152-2_S236_TRINITY_DN2486_c0_g1_i3.p1	10509
AD-5-152-2_S236_TRINITY_DN6189_c0_g1_i4.p1	10467
AD-5-152-2_S236_TRINITY_DN3534_c0_g1_i1.p1	10449
AD-9-127-2_S251_TRINITY_DN6461_c0_g1_i1.p1	10191
AD-7-125-1_S246_TRINITY_DN1170_c0_g1_i3.p1	9957
AD-5-152-2_S236_TRINITY_DN9210_c0_g1_i3.p1	9924
AD-5-152-2_S236_TRINITY_DN7312_c0_g1_i2.p1	9792
AD-5-152-2_S236_TRINITY_DN2724_c0_g1_i4.p1	9597
AD-7-125-1_S246_TRINITY_DN3369_c0_g1_i1.p1	9420
AD-5-152-2_S236_TRINITY_DN1816_c3_g1_i1.p1	9339
AD-7-149-2_S243_TRINITY_DN839_c0_g1_i7.p1	9330
AD-5-152-2_S236_TRINITY_DN10776_c0_g1_i1.p1	9102
AD-5-152-2_S236_TRINITY_DN7621_c0_g1_i4.p1	9054
